price,total_square,rooms,floor
63000000,137.0,3,6
3250000,16.7,1,1
16004680,76.0,3,6
7841776,24.0,1,10
120000000,126.0,3,16
13300000,74.0,3,14
9500000,65.0,2,3
15000000,87.0,3,11
7135671,35.8,2,11
31500000,68.3,2,4
20700000,74.7,3,14
13442826,51.9,2,21
14000000,53.0,2,14
7200000,34.8,1,16
11800000,50.0,1,12
7550000,42.0,1,8
111264064,107.0,2,2
65000000,97.0,2,4
37569823,140.1,4,12
9700000,36.0,1,11
11500000,42.0,1,10
8800000,52.0,2,3
20640000,37.48,1,17
27500000,114.6,3,6
11500000,45.3,2,2
18900000,59.7,3,3
170663394,154.68,3,16
15700000,92.8,3,4
23123514,66.9,2,19
12500000,75.0,3,7
11218713,39.16,1,24
15000000,52.4,2,5
65000000,142.0,5,3
7026534,20.63,1,3
11300000,37.1,2,8
10260000,54.0,2,2
19362780,62.1,2,20
25856480,64.48,2,19
50000000,120.0,3,24
12925115,35.0,1,7
6600000,39.2,1,12
7199603,20.1,1,24
13550000,63.1,3,4
22050000,46.07,2,5
10200000,34.0,1,8
8300000,38.5,1,8
13500000,68.0,3,3
12212640,55.8,2,21
14400000,86.5,3,12
24105540,47.8,1,2
18300000,73.0,3,5
14675000,81.0,3,19
30142700,40.46,1,9
8600000,31.0,1,9
10788015,34.9,1,13
46850000,70.2,2,19
8900000,34.5,1,2
14500000,89.9,3,1
17900000,105.5,3,2
15700000,66.2,3,9
19260000,38.61,1,11
15500000,32.0,1,11
16500000,68.4,3,4
198915500,162.0,4,13
28500000,67.7,2,8
14523000,44.4,1,3
68931120,57.0,1,2
6400000,29.7,1,2
14139310,73.8,3,16
18192360,45.49,2,20
9700000,38.0,1,14
6600000,34.0,1,10
17500000,55.9,2,12
6650384,54.44,2,19
73000000,129.6,3,8
10900000,33.0,1,6
35000000,100.5,4,2
10569641,25.8,1,30
125000000,160.0,4,2
17097300,82.5,4,7
10307606,25.2,1,14
59000000,118.5,4,2
33200000,81.4,3,4
12490000,40.2,3,2
27487880,102.0,3,32
10200000,35.0,1,5
8199999,43.0,2,5
15000000,40.5,1,9
30904483,58.9,2,7
15000000,87.1,3,2
13000000,40.0,1,18
9400000,50.9,2,6
38700000,97.0,3,29
34200000,75.38,3,12
14054274,44.2,2,15
126986160,181.0,4,34
7500000,38.3,1,24
4499000,28.2,1,9
65718900,159.9,3,23
59725032,107.0,4,7
41020512,71.0,2,8
7000000,39.8,1,10
13300000,68.5,2,2
12800000,50.2,2,7
8999900,45.0,1,19
13430348,59.01,2,6
5200000,19.9,1,5
33000000,101.1,4,9
5487560,31.78,1,14
99000000,144.0,4,21
64900000,120.9,3,3
73000000,104.0,3,16
13817440,40.88,2,3
13600000,85.4,3,12
23000000,104.5,3,7
14093644,54.0,2,6
11800000,37.2,1,14
50000000,84.5,3,2
30818150,69.0,2,12
15000000,45.0,1,2
10050000,44.7,2,1
43900000,130.0,3,16
13200000,50.4,2,4
9500000,62.3,3,9
26000000,77.0,2,7
20000000,64.0,3,4
9450000,64.8,2,12
7100000,58.6,2,5
4700000,19.8,1,1
5500000,37.0,1,3
23836800,62.4,2,38
14480000,64.1,3,1
35897600,79.0,2,29
10423970,37.0,2,14
18300000,40.72,1,4
21600000,61.5,3,8
7999000,21.6,1,23
30384875,84.5,3,2
9890000,32.8,1,7
12750000,40.0,1,14
28745640,76.86,3,8
14400000,41.7,2,4
12300000,64.0,2,10
16500000,72.0,2,3
7800000,30.2,1,2
7037000,18.3,1,2
10099999,35.7,1,2
49900000,87.6,3,14
5550000,23.5,1,7
13169486,37.92,2,19
32000000,48.0,1,11
158000000,250.0,5,1
22000000,54.0,2,1
12081480,25.0,1,38
8200000,65.1,2,6
8950000,53.0,2,16
28215000,51.3,2,2
20800000,69.6,3,6
13900000,32.0,1,4
9701054,36.4,1,15
41565498,72.7,2,25
9836852,39.1,1,23
9851047,25.1,1,20
22800000,78.0,3,13
25418400,45.0,1,37
10498999,41.4,2,2
15319646,63.03,3,18
11700000,60.0,2,6
13600000,44.4,2,3
9750000,25.61,1,5
42475952,99.0,3,11
11299000,65.0,2,13
10195464,36.0,1,15
120857100,116.5,3,12
14500000,53.0,1,4
11600000,38.0,1,9
89995000,106.0,4,6
44900000,131.3,3,4
56012171,108.9,3,42
7000000,40.0,2,5
14700000,43.0,2,19
3600000,15.8,1,2
17093468,40.64,1,7
13750000,44.6,2,1
37157500,83.5,2,3
17100000,56.0,2,14
11799000,45.4,2,5
125000000,174.0,4,13
6950000,30.9,1,14
49000000,95.0,3,18
18845624,35.1,1,20
21999000,85.0,3,4
11646180,36.4,1,16
35000000,98.0,3,8
26618127,80.83,3,26
24227325,65.25,2,43
10999999,31.5,1,3
19200000,79.2,3,3
13500000,63.4,2,2
14979800,62.0,2,9
18838804,64.0,2,5
23300000,56.2,2,7
26947528,50.0,1,13
11173658,40.6,2,10
9850000,76.0,3,13
6000000,42.0,2,2
14450000,42.0,1,4
10250000,25.8,1,3
14950000,34.7,1,32
64125027,84.7,3,22
9600000,76.4,2,15
39999999,76.0,3,4
26000000,72.9,3,2
